91,33,2.425E11
91,89,2.411E11
91,54,2.259E11
91,1,2.19E11
91,92,1.944E11
30,49,1.85E11
91,27,1.281E11
91,78,1.126E11
91,8,1.101E11
91,46,1.058E11
38,23,9.13E10
38,40,9.03E10
30,47,8.3E10
53,88,8.03E10
18,9,7.62E10
18,6,7.43E10
18,69,7.34E10
81,93,7.3E10
91,35,7.0E10
91,10,7.0E10
91,14,6.66E10
18,90,5.94E10
91,21,5.88E10
18,24,5.78E10
30,16,5.74E10
91,59,5.45E10
32,71,5.05E10
13,50,4.84E10
30,48,4.76E10
18,41,4.64E10
39,5,4.37E10
32,85,4.32E10
18,4,4.13E10
2,78,3.67E10
32,76,3.52E10
91,57,3.51E10
18,36,3.41E10
44,60,3.36E10
91,43,3.28E10
18,23,3.24E10
91,15,3.12E10
44,26,3.11E10
45,28,3.07E10
18,63,2.99E10
32,12,2.91E10
73,84,2.89E10
18,64,2.82E10
73,83,2.8E10
45,75,2.79E10
38,79,2.76E10
91,20,2.65E10
91,25,2.59E10
73,31,2.56E10
3,70,2.55E10
73,52,2.55E10
91,68,2.48E10
73,61,2.45E10
45,42,2.41E10
32,11,2.4E10
73,19,2.39E10
53,55,2.39E10
18,67,2.39E10
87,29,2.3E10
73,62,2.28E10
91,56,2.28E10
2,55,2.2E10
91,74,2.18E10
18,80,2.13E10
32,0,2.11E10
91,58,2.11E10
91,22,2.09E10
17,55,2.06E10
18,7,2.03E10
91,37,2.01E10
38,72,2.0E10
18,65,1.98E10
77,51,1.95E10
18,66,1.92E10
86,34,1.85E10
38,82,1.82E10
